상호명,편의점,지역,시군구코드,경도,위도
CU역삼달샘점,CU,서울특별시 강남구,11680,127.0327987,37.501885200000004
CU,CU,서울특별시 영등포구,11560,126.91138020000001,37.505532099999996
씨유대치우일,CU,서울특별시 강남구,11680,127.05081329999999,37.50114829
CU,CU,서울특별시 양천구,11470,126.88185959999998,37.53514387
씨유장안플러스,CU,서울특별시 동대문구,11230,127.06688770000001,37.56536823
씨유수영로교회,CU,부산광역시 해운대구,26350,129.13925940000001,35.16464052
CU동국대기숙사점,CU,서울특별시 중구,11140,126.9984996,37.55914934
CU상도삼성점,CU,서울특별시 동작구,11590,126.93521319999999,37.50617283
CU,CU,서울특별시 강서구,11500,126.8738368,37.54722262
CU까치산점,CU,서울특별시 강서구,11500,126.84573370000001,37.53281399
씨유중랑본,CU,서울특별시 중랑구,11260,127.0887618,37.59469697
CU,CU,서울특별시 강남구,11680,127.1049862,37.47469248
씨유면목베네스트,CU,서울특별시 중랑구,11260,127.08444679999998,37.58458088
CU월곡솔하임점,CU,서울특별시 성북구,11290,127.0299925,37.60677108
CU,CU,서울특별시 노원구,11350,127.0622554,37.655787
CU,CU,서울특별시 관악구,11620,126.9328778,37.48430133
CU,CU,부산광역시 부산진구,26230,129.06759920000002,35.15927196
씨유남구로명인,CU,서울특별시 구로구,11530,126.8910382,37.48376283
CU,CU,서울특별시 노원구,11350,127.0836175,37.62081441
CU,CU,서울특별시 마포구,11440,126.94566850000001,37.55408505
CU,CU,서울특별시 중구,11140,127.01644070000002,37.56594086
CU,CU,서울특별시 강남구,11680,127.0608463,37.4983451
CU,CU,서울특별시 중랑구,11260,127.0771132,37.61456456
CU,CU,서울특별시 동작구,11590,126.96399479999998,37.50805968
CU,CU,서울특별시 강남구,11680,127.03707920000001,37.52083329
CU성수한진점,CU,서울특별시 성동구,11200,127.045751,37.54077186
CU,CU,서울특별시 성동구,11200,127.04530919999999,37.54879664
CU,CU,서울특별시 강서구,11500,126.8617236,37.53560924
씨유중곡중앙,CU,서울특별시 광진구,11215,127.09185049999999,37.55670557
CU,CU,서울특별시 양천구,11470,126.84127990000002,37.52303918
CU편의점역삼역촌,CU,서울특별시 강남구,11680,127.0331193,37.50596059
씨유구서예가,CU,부산광역시 금정구,26410,129.087634,35.24520287
CU,CU,서울특별시 은평구,11380,126.9286855,37.62562747
씨유수유빨래골,CU,서울특별시 강북구,11305,127.01794450000001,37.63068406
CU,CU,서울특별시 송파구,11710,127.083072,37.51106243
CU,CU,서울특별시 동작구,11590,126.9389783,37.51185628
씨유구서센타,CU,부산광역시 금정구,26410,129.09107079999998,35.24830872
CU,CU,서울특별시 동대문구,11230,127.0534932,37.59248217
CU큐브플러스점,CU,서울특별시 서초구,11650,127.0142513,37.48806288
CU,CU,서울특별시 서초구,11650,127.0152815,37.4931354
씨유한강잠실4호,CU,서울특별시 송파구,11710,127.07649029999999,37.51920175
CU하단로또일등점,CU,부산광역시 사하구,26380,128.9661235,35.10895095
CU,CU,서울특별시 양천구,11470,126.82594109999998,37.53882699
CU신내중앙점,CU,서울특별시 중랑구,11260,127.09162649999999,37.61614586
씨유상계한신,CU,서울특별시 노원구,11350,127.05802050000001,37.67163846
CU,CU,서울특별시 서대문구,11410,126.9555906,37.57459981
CU,CU,부산광역시 수영구,26500,129.1087952,35.14008094
씨유신당힐링,CU,서울특별시 중구,11140,127.01946720000001,37.56129863
CU강서미음점,CU,부산광역시 강서구,26440,128.8540696,35.1277664
씨유목동1호,CU,서울특별시 양천구,11470,126.8819246,37.53988394
CU기계공구단지본관점,CU,부산광역시 강서구,26440,128.95572620000002,35.16730918
CU,CU,서울특별시 은평구,11380,126.9180449,37.62584574
cu마트하계타운점,CU,서울특별시 노원구,11350,127.070148,37.64086526
씨유압구정거리,CU,서울특별시 강남구,11680,127.0371804,37.52528531
씨유하단복개로점,CU,부산광역시 사하구,26380,128.9732935,35.10216008
CU,CU,부산광역시 강서구,26440,128.900848,35.08733284
CU,CU,부산광역시 남구,26290,129.1016728,35.136774700000004
CU,CU,서울특별시 중구,11140,127.0077882,37.5517581
씨유서대문인창,CU,서울특별시 서대문구,11410,126.96484550000001,37.5602737
CU,CU,서울특별시 은평구,11380,126.9333668,37.60165739999999
cuphasbean,CU,서울특별시 성동구,11200,127.03974109999999,37.56115891
CU거여청솔점,CU,서울특별시 송파구,11710,127.1490672,37.49268805
CU,CU,서울특별시 송파구,11710,127.08154240000002,37.50758147
CU구포테라스점,CU,부산광역시 북구,26320,129.0075869,35.20502688
CU,CU,부산광역시 부산진구,26230,129.0203786,35.15034942
CU,CU,서울특별시 강서구,11500,126.85168119999999,37.56257007
CU,CU,서울특별시 구로구,11530,126.89450190000001,37.49118387
CU,CU,서울특별시 광진구,11215,127.0899419,37.53774175
CUSHAN&WAKEFIELD,CU,서울특별시 강남구,11680,127.03613909999999,37.5015701
CU,CU,서울특별시 구로구,11530,126.8850184,37.48558936
CU,CU,부산광역시 부산진구,26230,129.0543754,35.17730742
CU,CU,서울특별시 광진구,11215,127.07788889999999,37.54527115
ACUVA,CU,서울특별시 강남구,11680,127.05066140000001,37.488135799999995
CU,CU,서울특별시 광진구,11215,127.0842737,37.53767991
CU,CU,서울특별시 마포구,11440,126.924755,37.55633826
씨유한강잠실2호,CU,서울특별시 송파구,11710,127.07649029999999,37.51920175
CU,CU,서울특별시 광진구,11215,127.0711311,37.53356758
CU,CU,서울특별시 마포구,11440,126.91533510000001,37.55578355
CU,CU,서울특별시 동대문구,11230,127.06097179999999,37.56232984
CU,CU,서울특별시 영등포구,11560,126.9058952,37.52486287
CU,CU,서울특별시 강북구,11305,127.0254825,37.61823117
CU,CU,서울특별시 송파구,11710,127.0806953,37.50932294
CU,CU,서울특별시 강북구,11305,127.0111334,37.636835299999994
CU,CU,서울특별시 강남구,11680,127.10375309999999,37.48706374
CU,CU,부산광역시 금정구,26410,129.0901596,35.23769871
CU,CU,부산광역시 해운대구,26350,129.1666048,35.16021589
CU오금공원점,CU,서울특별시 송파구,11710,127.1347382,37.50453206
CU,CU,서울특별시 강남구,11680,127.0199253,37.521989700000006
CU,CU,서울특별시 종로구,11110,126.9706798,37.56894767
CU,CU,부산광역시 동래구,26260,129.06436920000002,35.20030454
CU상도역점,CU,서울특별시 동작구,11590,126.9476851,37.50320302
CU,CU,서울특별시 동작구,11590,126.923926,37.49824946
CU,CU,부산광역시 강서구,26440,128.909515,35.08665518
CU,CU,부산광역시 사하구,26380,128.9760864,35.06131271
CU,CU,부산광역시 해운대구,26350,129.17275279999998,35.17407383
CU,CU,서울특별시 강서구,11500,126.85360700000001,37.53512526
CU,CU,부산광역시 해운대구,26350,129.13603909999998,35.16907853
CU,CU,부산광역시 북구,26320,129.0111688,35.24677631
CU,CU,서울특별시 성북구,11290,127.0197996,37.58948601
CU,CU,부산광역시 사상구,26530,128.9877859,35.15238625
CU,CU,서울특별시 성동구,11200,127.0529135,37.56404955
CU,CU,서울특별시 서초구,11650,127.0181,37.51279282
CU,CU,부산광역시 기장군,26710,129.2159423,35.24791167
CU,CU,서울특별시 강동구,11740,127.1433645,37.53353696
CU,CU,서울특별시 강서구,11500,126.8354489,37.54009249
CU,CU,부산광역시 부산진구,26230,129.0595744,35.1447759
