상호명,편의점,지역,시군구코드,경도,위도
위드미,EMART,서울특별시 영등포구,11560,126.9307564,37.51889138
위드미,EMART,서울특별시 영등포구,11560,126.90496170000002,37.51829462
위드미,EMART,서울특별시 중구,11140,127.0031469,37.55949502
위드미연산,EMART,부산광역시 연제구,26470,129.0898127,35.18791855
위드미,EMART,서울특별시 구로구,11530,126.89140520000001,37.480351299999995
위드미,EMART,서울특별시 구로구,11530,126.89979850000002,37.48240306
위드미,EMART,서울특별시 광진구,11215,127.07468529999998,37.530703100000004
위드미,EMART,서울특별시 영등포구,11560,126.90555490000001,37.51718283
위드미,EMART,서울특별시 송파구,11710,127.07930829999998,37.5108169
위드미,EMART,서울특별시 동대문구,11230,127.07381699999999,37.56797276
위드미,EMART,서울특별시 은평구,11380,126.91280549999999,37.62078786
위드미,EMART,부산광역시 해운대구,26350,129.1263223,35.17530769
위드미,EMART,서울특별시 도봉구,11320,127.04117579999999,37.64166954
위드미,EMART,서울특별시 강남구,11680,127.0301716,37.51174822
위드미방화역점,EMART,서울특별시 강서구,11500,126.8129853,37.57734263
위드미상봉역점,EMART,서울특별시 중랑구,11260,127.08537220000001,37.59777936
위드미,EMART,서울특별시 강남구,11680,127.0280225,37.49865626
위드미,EMART,서울특별시 중구,11140,127.00325179999999,37.56436155
위드미,EMART,서울특별시 영등포구,11560,126.905855,37.51677113
노들마트위드미노들언덕점,EMART,서울특별시 동작구,11590,126.9424424,37.51245501
위드미,EMART,부산광역시 남구,26290,129.076151,35.14354814
위드미,EMART,서울특별시 성북구,11290,127.03747379999999,37.60364266
위드미역삼화목,EMART,서울특별시 강남구,11680,127.04275190000001,37.50893143
위드미망원제일점,EMART,서울특별시 마포구,11440,126.9092327,37.55360088
위드미신림우정점,EMART,서울특별시 관악구,11620,126.9184817,37.48523366
위드미,EMART,부산광역시 금정구,26410,129.091655,35.22302882
위드미,EMART,부산광역시 해운대구,26350,129.1291066,35.1686566
위드미상도국사봉점,EMART,서울특별시 동작구,11590,126.9445888,37.49577778
위드미방학학마을,EMART,서울특별시 도봉구,11320,127.0392038,37.66720678
위드미수유푸르지오점,EMART,서울특별시 강북구,11305,127.02380090000001,37.63421967
위드미,EMART,부산광역시 동래구,26260,129.0665928,35.20490908
위드미광진코지웰,EMART,서울특별시 광진구,11215,127.07175649999999,37.54700718
위드미마포구청점,EMART,서울특별시 마포구,11440,126.90353629999998,37.565432799999996
위드미,EMART,서울특별시 영등포구,11560,126.883109,37.52419905
위드미역삼스타공원,EMART,서울특별시 강남구,11680,127.0360805,37.49733466
위드미,EMART,서울특별시 강북구,11305,127.0297955,37.64110797
위드미,EMART,서울특별시 성북구,11290,127.0044074,37.58809573
위드미,EMART,부산광역시 부산진구,26230,129.03206709999998,35.15297264
위드미,EMART,서울특별시 양천구,11470,126.82863470000001,37.52359922
위드미,EMART,서울특별시 중구,11140,126.97381370000001,37.56164949
위드미,EMART,서울특별시 중랑구,11260,127.09391969999999,37.58957369
위드미동대사랑점,EMART,서울특별시 중구,11140,126.9971997,37.561553100000005
위드미편의점,EMART,서울특별시 강남구,11680,127.05276059999998,37.51262535
위드미양재우성점,EMART,서울특별시 서초구,11650,127.0321845,37.47498362
위드미강동본점,EMART,서울특별시 강동구,11740,127.1256028,37.5362361
위드미,EMART,서울특별시 강남구,11680,127.03715079999999,37.48796339
위드미,EMART,서울특별시 강서구,11500,126.81843719999999,37.56833299
위드미팔구팔구,EMART,서울특별시 관악구,11620,126.9285904,37.48602858
위드미,EMART,서울특별시 중구,11140,127.0158836,37.56612544
위드미신림동양점,EMART,서울특별시 관악구,11620,126.930674,37.48660611
위드미,EMART,서울특별시 금천구,11545,126.89230159999998,37.4755391
위드미,EMART,부산광역시 남구,26290,129.0926282,35.13491859
위드미,EMART,서울특별시 구로구,11530,126.89157859999999,37.50228439
위드미,EMART,부산광역시 사하구,26380,128.9722162,35.10657661
위드미선릉에클라트점,EMART,서울특별시 강남구,11680,127.05072759999999,37.50613044
위드미,EMART,서울특별시 성북구,11290,127.0503227,37.60762123
위드미,EMART,부산광역시 수영구,26500,129.1113784,35.17188526
위드미강동중앙점,EMART,서울특별시 강동구,11740,127.13489129999999,37.52557292
위드미,EMART,서울특별시 강동구,11740,127.14014640000002,37.53691056
위드미,EMART,부산광역시 강서구,26440,128.878603,35.11039206
위드미,EMART,서울특별시 강동구,11740,127.12384009999998,37.53215928
위드미,EMART,서울특별시 서초구,11650,127.0289389,37.49164457
위드미중구소공점,EMART,서울특별시 중구,11140,126.97979509999999,37.56376472
위드미,EMART,서울특별시 강동구,11740,127.14764550000001,37.54212798
토마토레드위드미파,EMART,서울특별시 서초구,11650,127.00782609999999,37.50448036
위드미신월2호점,EMART,서울특별시 양천구,11470,126.83172579999999,37.53503695
위드미종로숭인점,EMART,서울특별시 종로구,11110,127.01669479999998,37.57243951
위드미,EMART,서울특별시 은평구,11380,126.90960859999998,37.60854942
위드미,EMART,서울특별시 서초구,11650,127.0068163,37.50642716
위드미,EMART,서울특별시 송파구,11710,127.1220097,37.49041762
위드미,EMART,서울특별시 성북구,11290,127.06494939999999,37.61354974
위드미,EMART,부산광역시 사상구,26530,128.9902306,35.15397079
위드미장안대로,EMART,서울특별시 동대문구,11230,127.0723763,37.57643129
위드미,EMART,서울특별시 마포구,11440,126.9363133,37.55376687
위드미성수IT점,EMART,서울특별시 성동구,11200,127.0445558,37.55107921
위드미,EMART,서울특별시 중구,11140,127.01543459999999,37.56583336
마릴린위드미,EMART,서울특별시 서초구,11650,127.0139553,37.49423264
토마토레드위드미파미에파크2호점,EMART,서울특별시 서초구,11650,127.00782609999999,37.50448036
위드미,EMART,서울특별시 마포구,11440,126.9351561,37.54918816
위드미,EMART,서울특별시 구로구,11530,126.88896299999999,37.4918077
위드미신림동부점,EMART,서울특별시 관악구,11620,126.9169729,37.47383057
위드미,EMART,부산광역시 금정구,26410,129.0951183,35.24615393
위드미도봉대로점,EMART,서울특별시 도봉구,11320,127.04007639999999,37.65841982
위드미풍납점,EMART,서울특별시 송파구,11710,127.11537549999998,37.52748276
위드미서면몰점,EMART,부산광역시 부산진구,26230,129.0573598,35.15597252
위드미장안점,EMART,서울특별시 동대문구,11230,127.0706219,37.57548941
위드미역삼스타공원점,EMART,서울특별시 강남구,11680,127.0360805,37.49733466
위드미현대홈시티점,EMART,서울특별시 도봉구,11320,127.0335593,37.64445466
위드미신정네거리역점,EMART,서울특별시 양천구,11470,126.85240309999999,37.51695766
위드미청운점,EMART,서울특별시 강남구,11680,127.04416270000002,37.51006016
위드미디지털큐브점,EMART,서울특별시 마포구,11440,126.8892257,37.57630064
위드미서교점,EMART,서울특별시 마포구,11440,126.9136978,37.55396642
위드미문래에이스점,EMART,서울특별시 영등포구,11560,126.88626380000001,37.51897577
위드미차병원사거리점,EMART,서울특별시 강남구,11680,127.0347915,37.50610041
위드미,EMART,서울특별시 금천구,11545,126.9136747,37.45018371
위드미충무로본점,EMART,서울특별시 중구,11140,126.9990418,37.56261394
위드미부산괴정점,EMART,부산광역시 사하구,26380,128.99267920000003,35.09890206
위드미북가좌점,EMART,서울특별시 서대문구,11410,126.91229990000001,37.58005658
위드미드마리스대치점,EMART,서울특별시 강남구,11680,127.0721553,37.49563217
위드미,EMART,서울특별시 동대문구,11230,127.0694747,37.57124545
위드미목동공원점,EMART,서울특별시 양천구,11470,126.87597269999999,37.53159195
위드미,EMART,서울특별시 노원구,11350,127.0436929,37.63270665
위드미,EMART,부산광역시 해운대구,26350,129.120097,35.21925362
위드미,EMART,서울특별시 광진구,11215,127.07175649999999,37.54700718
위드미숭실대점,EMART,서울특별시 동작구,11590,126.95324479999998,37.49625126
위드미염창역점,EMART,서울특별시 양천구,11470,126.8756553,37.54669933
위드미,EMART,서울특별시 서초구,11650,126.9845551,37.49405567
위드미강남종로학원점,EMART,서울특별시 강남구,11680,127.0614341,37.50378314
위드미강서화곡점,EMART,서울특별시 강서구,11500,126.84525829999998,37.53061983
위드미은평점,EMART,서울특별시 은평구,11380,126.92150349999999,37.6005134
위드미외대이문점,EMART,서울특별시 동대문구,11230,127.0649142,37.59736675
위드미신림점,EMART,서울특별시 관악구,11620,126.9280622,37.48025707
위드미가락극동점,EMART,서울특별시 송파구,11710,127.131249,37.49526155
위드미,EMART,서울특별시 강남구,11680,127.0531449,37.50100481
위드미연희제일점,EMART,서울특별시 서대문구,11410,126.9272469,37.56646157
위드미이문웰츠점,EMART,서울특별시 동대문구,11230,127.0621635,37.59908394
위드미DMC역점,EMART,서울특별시 은평구,11380,126.9005473,37.579344
위드미장안대로점,EMART,서울특별시 동대문구,11230,127.0723763,37.57643129
위드미가산GBC점,EMART,서울특별시 금천구,11545,126.8810166,37.48021733
위드미청담하나점,EMART,서울특별시 강남구,11680,127.0463494,37.52221503
위드미,EMART,부산광역시 수영구,26500,129.1135074,35.15008821
위드미사당남사점,EMART,서울특별시 동작구,11590,126.9808533,37.48352652
위드미송파거여점,EMART,서울특별시 송파구,11710,127.14299199999999,37.49884345
위드미토성점,EMART,부산광역시 서구,26140,129.0209773,35.09983889
위드미한양대엠케이점,EMART,서울특별시 성동구,11200,127.0424353,37.55847765
위드미,EMART,서울특별시 강남구,11680,127.0324108,37.497764200000006
위드미성북정릉점,EMART,서울특별시 성북구,11290,127.00777109999999,37.60935253
위드미,EMART,서울특별시 동작구,11590,126.9226321,37.49936397
위드미,EMART,부산광역시 강서구,26440,128.8538353,35.12844411
위드미금천해피점,EMART,서울특별시 금천구,11545,126.90020690000001,37.46842258
위드미용산신창점,EMART,서울특별시 용산구,11170,126.95515,37.53562587
위드미신논현역점,EMART,서울특별시 강남구,11680,127.02464769999999,37.50509802
위드미독산로점,EMART,서울특별시 금천구,11545,126.9010762,37.46772785
위드미엔씨타워점,EMART,서울특별시 강남구,11680,127.05819450000001,37.50777607
위드미군자본점,EMART,서울특별시 광진구,11215,127.0697176,37.54989251
위드미수영블루점,EMART,부산광역시 수영구,26500,129.1153847,35.16461031
위드미,EMART,부산광역시 서구,26140,129.0158122,35.07603106
위드미금천시흥점,EMART,서울특별시 금천구,11545,126.9033107,37.45406163
위드미마곡미르웰점,EMART,서울특별시 강서구,11500,126.8400226,37.56550158
