상호명,편의점,지역,시군구코드,경도,위도
GS25해운리베라,GS25,부산광역시 해운대구,26350,129.1619803,35.16227943
GS,GS25,서울특별시 강동구,11740,127.13436010000001,37.5382469
GS25,GS25,부산광역시 사상구,26530,128.991098,35.14857333
GS25,GS25,서울특별시 광진구,11215,127.0645039,37.53421809
GS25안암학사,GS25,서울특별시 성북구,11290,127.0309577,37.58648758
GS25당리행운점,GS25,부산광역시 사하구,26380,128.9698771,35.10542351
지에스25용마파크,GS25,서울특별시 중랑구,11260,127.08846740000001,37.57519606
GS25부곡점,GS25,부산광역시 금정구,26410,129.0917207,35.22875199
GS25강남센타,GS25,서울특별시 서초구,11650,127.02408840000001,37.50375083
지에스25신월유진,GS25,서울특별시 양천구,11470,126.8350432,37.52179747
GS25가락타운,GS25,서울특별시 송파구,11710,127.1207571,37.49598588
지에스25부산대학교웅비관내,GS25,부산광역시 금정구,26410,129.07332240000002,35.23642502
GS25광운문화관,GS25,서울특별시 노원구,11350,127.0575759,37.61981638
GS25,GS25,서울특별시 중구,11140,127.01245349999999,37.55757291
편의점GS25,GS25,서울특별시 강서구,11500,126.83498929999999,37.54635915
GS25시흥뉴타운점,GS25,서울특별시 금천구,11545,126.9035578,37.44874772
GS25영도한진,GS25,부산광역시 영도구,26200,129.05336450000001,35.09546046
GS25,GS25,서울특별시 종로구,11110,127.0004006,37.58205193
GS25대치학원점,GS25,서울특별시 강남구,11680,127.0622213,37.49962651
GS25,GS25,서울특별시 중구,11140,126.9722371,37.56105911
GS25,GS25,부산광역시 부산진구,26230,129.06059209999998,35.1479399
GS25,GS25,서울특별시 강남구,11680,127.03493490000001,37.50110974
GS25,GS25,서울특별시 강남구,11680,127.03783030000001,37.52753423
GS25,GS25,부산광역시 연제구,26470,129.0801611,35.18291219
GS25목동제일,GS25,서울특별시 양천구,11470,126.8675479,37.52232987
GS25,GS25,서울특별시 금천구,11545,126.8925412,37.46772926
GS금산초교점,GS25,서울특별시 금천구,11545,126.90580800000001,37.44246119
gs25역삼,GS25,서울특별시 강남구,11680,127.0334179,37.49771838
GS,GS25,부산광역시 연제구,26470,129.0822566,35.18859926
GS25남항시장점,GS25,부산광역시 영도구,26200,129.0408041,35.09093571
GS25미아보람,GS25,서울특별시 강북구,11305,127.02743740000001,37.624680700000006
GS25문래현대점,GS25,서울특별시 영등포구,11560,126.8905489,37.51989912
GS금사대우,GS25,부산광역시 금정구,26410,129.1172319,35.21456589
GS25,GS25,서울특별시 은평구,11380,126.93770990000002,37.61160793
GS25대연유엔,GS25,부산광역시 남구,26290,129.0975943,35.13049295
GS25노량제일,GS25,서울특별시 동작구,11590,126.9423725,37.51340048
GS25화명벽산점,GS25,부산광역시 북구,26320,129.01478500000002,35.24158111
지에스장림우주점,GS25,부산광역시 사하구,26380,128.9688485,35.08059788
GS25오류타운점,GS25,서울특별시 구로구,11530,126.84123290000001,37.49096171
GS25문정제일,GS25,서울특별시 송파구,11710,127.1250812,37.48885453
GS25초량일신점,GS25,부산광역시 동구,26170,129.0457883,35.12483057
GS25묵동사랑점,GS25,서울특별시 중랑구,11260,127.0796393,37.61638637
GS25,GS25,부산광역시 사상구,26530,128.97057790000002,35.141393
GS25동국타운,GS25,서울특별시 중구,11140,127.00213970000001,37.55863052
GS25,GS25,서울특별시 마포구,11440,126.94786200000001,37.54295873
GS25화곡풀향기,GS25,서울특별시 강서구,11500,126.8384028,37.54296885
지에스25대치사랑,GS25,서울특별시 강남구,11680,127.0562645,37.50295804
지에스25서울역,GS25,서울특별시 용산구,11170,126.97231090000001,37.55404063
GS25김포공항역점,GS25,서울특별시 강서구,11500,126.8199598,37.56869061
GS25가재울현대,GS25,서울특별시 서대문구,11410,126.9196577,37.57387096
GS25,GS25,서울특별시 금천구,11545,126.9001138,37.45085121
GS25용산프라임점,GS25,서울특별시 용산구,11170,126.9697034,37.54038512
GS25화명메인,GS25,부산광역시 북구,26320,129.0126491,35.23415356
지에스25압구정현대,GS25,서울특별시 강남구,11680,127.0283048,37.53359239
GS25사당위브점,GS25,서울특별시 동작구,11590,126.97208359999999,37.48566713
GS25,GS25,서울특별시 은평구,11380,126.9225851,37.61660668
GS25,GS25,서울특별시 강서구,11500,126.83818400000001,37.54029964
GS25,GS25,서울특별시 강남구,11680,127.05270729999998,37.49536069
GS편의점도봉북서울점,GS25,서울특별시 도봉구,11320,127.04474040000001,37.68183943
GS25편의점게이트웨이,GS25,서울특별시 용산구,11170,126.97354080000001,37.55348367
GS25편의점,GS25,서울특별시 강서구,11500,126.86884109999998,37.55504992
GS25,GS25,서울특별시 마포구,11440,126.94304540000002,37.55149363
GS25,GS25,서울특별시 도봉구,11320,127.03916470000001,37.63858065
GS25팔래스호텔점,GS25,서울특별시 서초구,11650,127.0024603,37.50143467
GS,GS25,부산광역시 사상구,26530,128.9852971,35.16443118
GS25서초서일점,GS25,서울특별시 서초구,11650,127.02210330000001,37.48425359
GS25석계그랑빌,GS25,서울특별시 노원구,11350,127.0670596,37.61872039
GS25,GS25,부산광역시 연제구,26470,129.0761488,35.18837425
GS25대연유일,GS25,부산광역시 남구,26290,129.0977007,35.13596344
GS25망미토현점,GS25,부산광역시 연제구,26470,129.1110846,35.17853116
GS25,GS25,서울특별시 강남구,11680,127.0515399,37.51076839
GS노원중앙점,GS25,서울특별시 노원구,11350,127.0631597,37.65417232
GS25길동하나,GS25,서울특별시 강동구,11740,127.14425829999999,37.54146373
GS25문현뜨래봄,GS25,부산광역시 남구,26290,129.0673038,35.1391735
지에스녹산공단점,GS25,부산광역시 강서구,26440,128.84251799999998,35.0853183
지에스25상명사랑,GS25,서울특별시 종로구,11110,126.9585065,37.60014294
GS25광진파크,GS25,서울특별시 광진구,11215,127.06883090000001,37.54747972
지에스25신촌문화,GS25,서울특별시 서대문구,11410,126.9406199,37.55894152
GS논현이편한점,GS25,서울특별시 강남구,11680,127.0287534,37.50684385
GS25W타워,GS25,부산광역시 해운대구,26350,129.16142309999998,35.16013949
GS25서동제일,GS25,부산광역시 금정구,26410,129.10585020000002,35.21435491
GS25고려대역,GS25,서울특별시 동대문구,11230,127.03656740000001,37.59049808
GS행복점,GS25,부산광역시 부산진구,26230,129.0615967,35.17373794
GS25노원한신,GS25,서울특별시 노원구,11350,127.0693696,37.66601601
GS25정릉시티점,GS25,서울특별시 성북구,11290,127.00952420000002,37.61124141
GS25,GS25,부산광역시 수영구,26500,129.1128345,35.16434532
GS25,GS25,부산광역시 사상구,26530,128.97867069999998,35.16198802
지에스강서퀸덤점,GS25,부산광역시 강서구,26440,128.899217,35.08860693
GS25동아햇살,GS25,부산광역시 중구,26110,129.0300877,35.11346315
지에스25상수사랑,GS25,서울특별시 마포구,11440,126.9242713,37.54746762
GS25창동럭키점,GS25,서울특별시 도봉구,11320,127.0453646,37.65081297
부산GS25카톨릭대점,GS25,부산광역시 금정구,26410,129.0970741,35.243702500000005
GS25뚝섬제일,GS25,서울특별시 성동구,11200,127.04498240000001,37.54780284
GS25구의새한,GS25,서울특별시 광진구,11215,127.08848400000001,37.54038861
GS25용호사거리,GS25,부산광역시 남구,26290,129.1126402,35.11943089
GS은평뉴타운,GS25,서울특별시 은평구,11380,126.92658929999999,37.63432136
GS25송파나루,GS25,서울특별시 송파구,11710,127.10800659999998,37.51068569
GS25거제대우,GS25,부산광역시 연제구,26470,129.0664355,35.19203868
GS25,GS25,부산광역시 남구,26290,129.08545900000001,35.13544273
GS25남영역,GS25,서울특별시 용산구,11170,126.9723916,37.54157089
GS25서초4점,GS25,서울특별시 서초구,11650,127.0141674,37.48755759
GS25서울팔래스,GS25,서울특별시 서초구,11650,127.0024603,37.50143467
GS,GS25,부산광역시 사상구,26530,128.9844814,35.16414937
GS25자양한양,GS25,서울특별시 광진구,11215,127.07799909999999,37.53172919
GS25,GS25,서울특별시 서초구,11650,126.9911159,37.48803878
지에스,GS25,서울특별시 영등포구,11560,126.885149,37.52395702
GS25중곡센타,GS25,서울특별시 광진구,11215,127.08100379999999,37.56255054
GS25,GS25,서울특별시 서초구,11650,127.0133812,37.49059659
지에스25여의파라곤,GS25,서울특별시 영등포구,11560,126.9209885,37.53104773
GS25센텀그린,GS25,부산광역시 해운대구,26350,129.1270267,35.17464313
GS25성북동진점,GS25,서울특별시 성북구,11290,127.03619209999998,37.59500924
GS25장림유성점,GS25,부산광역시 사하구,26380,128.9690272,35.08272379
GS25공릉에이스,GS25,서울특별시 노원구,11350,127.0758007,37.61994251
GS25좌천사거리점,GS25,부산광역시 기장군,26710,129.2440982,35.31221658
GS25,GS25,서울특별시 광진구,11215,127.0767926,37.53873896
지에스25장림무지개,GS25,부산광역시 사하구,26380,128.95353590000002,35.07831248
GS25해운대역,GS25,부산광역시 해운대구,26350,129.1581842,35.16239691
GS25방이센타,GS25,서울특별시 송파구,11710,127.11684509999999,37.51222984
GS25금천태양점,GS25,서울특별시 금천구,11545,126.89749979999999,37.47493897
GS,GS25,서울특별시 송파구,11710,127.1317544,37.48579509
GS25,GS25,서울특별시 성북구,11290,127.02894009999999,37.60321233
GS25고대중도관,GS25,서울특별시 성북구,11290,127.0317018,37.58848499
지에스25내,GS25,서울특별시 마포구,11440,126.9074875,37.56382954
GS25트윈테크,GS25,서울특별시 금천구,11545,126.8829102,37.47605439
