상호명,편의점,지역,시군구코드,경도,위도
미니스톱반송삼한점,MINISTOP,부산광역시 해운대구,26350,129.16128,35.22878067
미니스톱등촌청림점,MINISTOP,서울특별시 강서구,11500,126.8557876,37.55679828
미니스톱,MINISTOP,서울특별시 성동구,11200,127.051851,37.54249695
미니스톰논현힐탑점,MINISTOP,서울특별시 강남구,11680,127.03203059999998,37.51056507
미니스톱논현역2점,MINISTOP,서울특별시 서초구,11650,127.0211158,37.51052918
미니스톱,MINISTOP,서울특별시 중랑구,11260,127.08087240000002,37.59810482
미니스톱장안쉐르빌,MINISTOP,서울특별시 동대문구,11230,127.0692952,37.57020784
미니스톱종로6가,MINISTOP,서울특별시 종로구,11110,127.0065197,37.57143525
미니스톱서울대입구점,MINISTOP,서울특별시 관악구,11620,126.9665762,37.469301
미니스톱운남희망점,MINISTOP,서울특별시 성북구,11290,127.0376916,37.60343719
미니스톱마곡미르웰점,MINISTOP,서울특별시 강서구,11500,126.8402037,37.56623319
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.131238,35.19730965
미니스톱,MINISTOP,부산광역시 남구,26290,129.0807834,35.11874562
미니스톱,MINISTOP,서울특별시 서초구,11650,127.00989399999999,37.50376786
미니스톱,MINISTOP,서울특별시 강남구,11680,127.04959850000002,37.47384547
미니스톱마곡엠밸리점,MINISTOP,서울특별시 강서구,11500,126.8195019,37.56542431
미니스톱,MINISTOP,서울특별시 금천구,11545,126.87869850000001,37.47871763
미니스톱,MINISTOP,서울특별시 강서구,11500,126.854548,37.56088596
미니스톱,MINISTOP,서울특별시 종로구,11110,126.98511090000002,37.57658729999999
미니스톱,MINISTOP,서울특별시 강북구,11305,127.02173590000001,37.63358085
미니스톱,MINISTOP,서울특별시 강남구,11680,127.03796640000002,37.52486822
미니스톱,MINISTOP,서울특별시 성북구,11290,127.03488859999999,37.59335869
미니스톱부산고관점,MINISTOP,부산광역시 동구,26170,129.0462769,35.12700774
미니스톱신호원룸점,MINISTOP,부산광역시 강서구,26440,128.88002020000002,35.08405138
미니스톱,MINISTOP,서울특별시 강남구,11680,127.05154009999998,37.50448803
미니스톱종암아이파크점,MINISTOP,서울특별시 성북구,11290,127.0318385,37.59803714
미니스톱,MINISTOP,서울특별시 금천구,11545,126.9024543,37.44846716
미니스톱번동주공점,MINISTOP,서울특별시 강북구,11305,127.0458355,37.6255157
미니스톱올림픽공원점,MINISTOP,서울특별시 송파구,11710,127.1157765,37.52034939
미니스톱동소문점,MINISTOP,서울특별시 성북구,11290,127.0125906,37.59176863
미니스톱일원본점,MINISTOP,서울특별시 강남구,11680,127.08757209999999,37.49168847
미니스톱성내메디칼점,MINISTOP,서울특별시 강동구,11740,127.1365007,37.53415376
미니스톱,MINISTOP,부산광역시 동래구,26260,129.082464,35.21746871
미니스톱신대방역점,MINISTOP,서울특별시 관악구,11620,126.9140976,37.48502224
미니스톱,MINISTOP,서울특별시 중구,11140,126.9759463,37.5629565
미니스톱,MINISTOP,서울특별시 광진구,11215,127.0850068,37.53973098
미니스톱,MINISTOP,서울특별시 종로구,11110,126.9553328,37.57766106
미니스톱,MINISTOP,서울특별시 마포구,11440,126.94304540000002,37.55149363
미니스톱풍납점,MINISTOP,서울특별시 송파구,11710,127.11667790000001,37.5283305
미니스톱,MINISTOP,서울특별시 마포구,11440,126.90562279999999,37.5682724
미니스톱,MINISTOP,서울특별시 용산구,11170,126.9680068,37.53047682
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.0481852,35.18085854
미니스톱,MINISTOP,부산광역시 중구,26110,129.02795079999999,35.09791406
미니스톱,MINISTOP,부산광역시 해운대구,26350,129.1228621,35.18473222
한국미니스톱강남,MINISTOP,서울특별시 강남구,11680,127.05296670000001,37.50616643
미니스톱,MINISTOP,서울특별시 도봉구,11320,127.0464412,37.66941898
미니스톱,MINISTOP,서울특별시 은평구,11380,126.9125283,37.61415373
미니스톱메리놀병원,MINISTOP,부산광역시 중구,26110,129.03302040000003,35.10767824
미니스톱,MINISTOP,서울특별시 금천구,11545,126.87935970000001,37.47835448
미니스톱,MINISTOP,서울특별시 마포구,11440,126.90331370000001,37.55590677
미니스톱방이2점,MINISTOP,서울특별시 송파구,11710,127.1113869,37.51273855
미니스톱,MINISTOP,서울특별시 중랑구,11260,127.08604440000002,37.58355706
미니스톱,MINISTOP,부산광역시 동구,26170,129.0497311,35.13113331
미니스톱,MINISTOP,서울특별시 서초구,11650,127.0150909,37.48353757
미니스톱,MINISTOP,부산광역시 부산진구,26230,129.0568657,35.15934804
미니스톱,MINISTOP,서울특별시 관악구,11620,126.9274523,37.48337818
미니스톱신림고은점,MINISTOP,서울특별시 관악구,11620,126.91267659999998,37.48086435
미니스톱,MINISTOP,서울특별시 강남구,11680,127.0354418,37.50566421
미니스톱강동구청점,MINISTOP,서울특별시 강동구,11740,127.1234719,37.530750899999994
미니스톱대방점,MINISTOP,서울특별시 동작구,11590,126.92835759999998,37.49994767
