상호명,편의점,지역,시군구코드,경도,위도
코리아세븐하단제휴점,7ELEVEN,부산광역시 사하구,26380,128.9682084,35.10715854
세븐일레븐대치코스모스점B,7ELEVEN,서울특별시 강남구,11680,127.06489029999999,37.50779322
세븐일레븐,7ELEVEN,서울특별시 중구,11140,126.98170900000001,37.56785395
세븐일레븐,7ELEVEN,서울특별시 구로구,11530,126.88797590000001,37.49660098
세븐일레븐신촌연세점,7ELEVEN,서울특별시 서대문구,11410,126.93331,37.56040746
세븐일레븐서초역점,7ELEVEN,서울특별시 서초구,11650,127.0082175,37.48942704
세븐일레븐온천2호점,7ELEVEN,부산광역시 동래구,26260,129.0726258,35.20770416
세븐일레븐,7ELEVEN,부산광역시 연제구,26470,129.0746068,35.19134449
세븐일레븐부산영도점,7ELEVEN,부산광역시 영도구,26200,129.04007909999999,35.08911208
세븐일레븐창동어울림점,7ELEVEN,서울특별시 도봉구,11320,127.0417088,37.65574802
세븐일레븐,7ELEVEN,서울특별시 중구,11140,126.9817165,37.55732083
세븐일레븐,7ELEVEN,서울특별시 구로구,11530,126.8925425,37.48373189
세븐일레븐,7ELEVEN,부산광역시 해운대구,26350,129.1382606,35.16464991
세븐일레븐,7ELEVEN,서울특별시 강남구,11680,127.0598447,37.48351472
세븐일레븐,7ELEVEN,서울특별시 강남구,11680,127.0522473,37.50223206
세븐일레븐,7ELEVEN,서울특별시 서초구,11650,127.0396212,37.48224376
세븐일레븐도곡2호점,7ELEVEN,서울특별시 강남구,11680,127.0399352,37.48775177
세븐일레븐신사4호,7ELEVEN,서울특별시 강남구,11680,127.0237915,37.51873288
세븐일레븐,7ELEVEN,서울특별시 강남구,11680,127.03663229999998,37.52128017
세븐일레븐,7ELEVEN,서울특별시 강남구,11680,127.0482229,37.50474969
세븐일레븐안락점,7ELEVEN,부산광역시 동래구,26260,129.1125575,35.19879874
세븐일레븐광고회관점,7ELEVEN,서울특별시 송파구,11710,127.09958429999999,37.51594704
세븐일레븐녹산한마음병원점,7ELEVEN,부산광역시 강서구,26440,128.85305870000002,35.09077933
세븐일레븐,7ELEVEN,서울특별시 동작구,11590,126.97113859999999,37.48448754
세븐일레븐,7ELEVEN,서울특별시 광진구,11215,127.0888248,37.54864488
세븐일레븐,7ELEVEN,서울특별시 동작구,11590,126.93195159999998,37.50884653
세븐일레븐,7ELEVEN,서울특별시 강남구,11680,127.04868940000001,37.48848036
세븐일레븐서초본점,7ELEVEN,서울특별시 서초구,11650,127.01367959999999,37.48423763
세븐일레븐부산카톨릭베리타스점,7ELEVEN,부산광역시 금정구,26410,129.09993659999998,35.24494746
