지역,지역구,카페명,주소,위도,경도,
서서울,은평,스모어,서울 은평구 연서로29길 8-8,37.6189525,126.9196972,
서서울,은평,필라멘트카페,서울 은평구 통일로 883,37.6217534,126.9194619,
서서울,은평,HUGA,서울 은평구 진관2로 19,37.634753,126.9197743,
서서울,은평,YM Coffee Project,서울 은평구 연서로29길 21-8,37.6190949,126.9175418,
서서울,은평,카페달력,서울 은평구 연서로18길 28-2,37.6119303,126.9205339,
서서울,은평,CAFE ASA,서울 은평구 불광천길 338,37.5890681,126.9140942,
서서울,은평,1인1잔,서울 은평구 연서로 534,37.6190884,126.9235023,
서서울,은평,카페뤽상부르,서울 은평구 연서로25길 6-11,37.6172218,126.9181467,
서서울,은평,Tamnadoda cafe,서울 은평구 통일로83길 5-14,37.620598,126.9187423,
서서울,은평,북한산제빵소,서울 은평구 진관동 126-11,37.6394812,126.9401428,
서서울,은평,제이츠 커피 브루어스,서울 은평구 연서로25길 20-3,37.6174221,126.9168944,https://store.naver.com/restaurants/detail?id=755216020&query=%EC%A0%9C%EC%9D%B4%EC%B8%A0%20%EC%BB%A4%ED%94%BC%20%EB%B8%8C%EB%A3%A8%EC%96%B4%EC%8A%A4&tab=photo
서서울,은평,슬러프커피,서울 은평구 연서로16길 15-7,37.6097942,126.9184887,https://store.naver.com/restaurants/detail?id=1775085519&query=%EC%8A%AC%EB%9F%AC%ED%94%84%EC%BB%A4%ED%94%BC&tab=photo
서서울,은평,다용도실,서울 은평구 연서로20길 17,37.6140571,126.9198779,https://blog.naver.com/wjsthgus1019/221330409520
서서울,마포,프릳츠 도화점,서울 마포구 새창로2길 17,37.5409755,126.9490468,
서서울,마포,피오니,서울 마포구 어울마당로 56,37.5499118,126.9212434,
서서울,마포,앤트러사이트 합정점,서울 마포구 토정로5길 10,37.5458006,126.9183208,
서서울,마포,카페부라노,서울 마포구 동교로23길 14,37.5568708,126.9208862,
서서울,마포,소복 홍대 본점,서울 마포구 어울마당로 58,37.5500661,126.9212695,
서서울,마포,허밍벨라,서울 마포구 독막로7길 57,37.5503215,126.9199349,
서서울,마포,젤라띠젤라띠,서울 마포구 와우산로17길 12,37.5502746,126.9223031,
서서울,마포,커피가게동경,서울 마포구 망원로6길 21,37.5559099,126.9035384,
서서울,마포,아오이토리,서울 마포구 와우산로29길 8,37.5547393,126.9294391,
서서울,마포,안티크코코,서울 마포구 독막로 64,37.5475819,126.9204814,
서서울,마포,카페 레드빅,서울 마포구 잔다리로6길 5,37.5521037,126.9194429,
서서울,마포,카페하이웨스트,서울 마포구 성미산로 167-9,37.5645316,126.9250634,https://blog.naver.com/you_11/221328844590
서서울,마포,블랑드티,서울 마포구 양화로 61,37.5507622,126.9150317,https://blog.naver.com/h4543777/221252847983
서서울,서대문,카페 카페,서울 서대문구 연세로12길 19,37.5590079,126.9381633,
서서울,서대문,호밀밭,서울 서대문구 신촌역로 43,37.5589121,126.9406332,
서서울,서대문,매뉴팩트커피,서울 서대문구 연희로11길 29,37.567758,126.9295981,
서서울,서대문,어반앨리스,서울 서대문구 이화여대1길 10,37.5576095,126.9449016,
서서울,서대문,waffle it up,서울 서대문구 이화여대3길 42-19,37.5582078,126.9432894,
서서울,서대문,카페페라,서울 서대문구 이화여대8길 2,37.558617,126.9459253,
서서울,서대문,보일링팟,서울 서대문구 연세로 42-22,37.5592082,126.9382884,
서서울,서대문,마호가니,서울 서대문구 연희맛로 45,37.5688266,126.9311834,
서서울,서대문,독수리다방,서울 서대문구 연세로 36,37.5587229,126.9372291,
서서울,서대문,하이드미플리즈,서울 서대문구 통일로39나길 5,37.5884239,126.9430865,
서서울,서대문,마이디어스윗,서울 서대문구 세검정로 52-10,37.5919658,126.9465059,https://blog.naver.com/rladudrhkd31/221171436911
서서울,서대문,로열티하우스,서울 서대문구 충정로 71-5,37.5651589,126.9654212,https://store.naver.com/restaurants/detail?id=497790303&query=%EB%A1%9C%EC%97%B4%ED%8B%B0%ED%95%98%EC%9A%B0%EC%8A%A4&tab=photo
서서울,서대문,팝컨테이너,서울 서대문구 명물길 70,37.5588248,126.9400516,https://blog.naver.com/gidepddl/220692631680
