,지역,지역구,카페명,주소,위도,경도,파일명,1번 색,2번 색,3번 색,4번 색,5번 색
0,서서울,은평,스모어,서울 은평구 연서로29길 8-8,37.6189525,126.9196972,ws_ep_01.png,dbd6cc,c7b29a,231a14,ab8f73,644f3f
1,서서울,은평,필라멘트카페,서울 은평구 통일로 883,37.6217534,126.9194619,ws_ep_02.png,201d1e,9d7653,5f4939,cead7d,e7e4cf
2,서서울,은평,HUGA,서울 은평구 진관2로 19,37.634753,126.9197743,ws_ep_03.png,36a17c,8ebda8,e5e7df,6f6c49,272b15
3,서서울,은평,YM Coffee Project,서울 은평구 연서로29길 21-8,37.61909489999999,126.9175418,ws_ep_04.png,cab9ab,e9dfd8,403126,af8b6d,84634c
4,서서울,은평,카페달력,서울 은평구 연서로18길 28-2,37.6119303,126.9205339,ws_ep_05.png,e8ddd1,d3c0af,b19c89,5a432c,917457
5,서서울,은평,CAFE ASA,서울 은평구 불광천길 338,37.58906810000001,126.9140942,ws_ep_06.png,a29086,795a4d,4e362d,bcb6b1,f0efeb
6,서서울,은평,1인1잔,서울 은평구 연서로 534,37.6190884,126.9235023,ws_ep_07.png,654d3a,251d16,8e8a83,d6dac5,d1843e
7,서서울,은평,카페뤽상부르,서울 은평구 연서로25길 6-11,37.6172218,126.9181467,ws_ep_08.png,91724d,585230,2b2718,bfa788,e9ddcf
8,서서울,은평,Tamnadoda cafe,서울 은평구 통일로83길 5-14,37.620598,126.9187423,ws_ep_09.png,775945,bcb7b1,948a83,272f46,191413
9,서서울,은평,북한산제빵소,서울 은평구 진관동 126-11,37.63948120000001,126.9401428,ws_ep_10.png,321f11,60432a,887b61,a3aaa0,edf6f4
10,서서울,은평,제이츠 커피 브루어스,서울 은평구 연서로25길 20-3,37.6174221,126.91689440000002,ws_ep_11.png,e0dede,b0b0b2,7f7d6d,2c2e28,315d95
11,서서울,은평,슬러프커피,서울 은평구 연서로16길 15-7,37.6097942,126.9184887,ws_ep_12.png,b1a69a,d5d3ce,907963,63503c,2c231b
12,서서울,은평,다용도실,서울 은평구 연서로20길 17,37.6140571,126.9198779,ws_ep_13.png,c1baa9,261b15,977e68,5d4939,edede9
13,서서울,마포,프릳츠 도화점,서울 마포구 새창로2길 17,37.5409755,126.9490468,ws_mp_01.png,110e0b,2e2721,5e5145,a08d78,e4eee7
14,서서울,마포,피오니,서울 마포구 어울마당로 56,37.5499118,126.9212434,ws_mp_02.png,95949f,453f35,86785e,bfb7a4,e6e7e1
15,서서울,마포,앤트러사이트 합정점,서울 마포구 토정로5길 10,37.5458006,126.9183208,ws_mp_03.png,211e1b,776855,494238,a7957a,e1e2d0
16,서서울,마포,카페부라노,서울 마포구 동교로23길 14,37.5568708,126.9208862,ws_mp_04.png,cfcdca,a9a69f,f1f2f4,7d7269,433832
17,서서울,마포,소복 홍대 본점,서울 마포구 어울마당로 58,37.5500661,126.9212695,ws_mp_05.png,dfdfd5,c5bfac,603b12,805f39,a18b6d
18,서서울,마포,허밍벨라,서울 마포구 독막로7길 57,37.5503215,126.91993490000002,ws_mp_06.png,d1c0ab,f0e7d8,a28b79,3c221a,785847
19,서서울,마포,젤라띠젤라띠,서울 마포구 와우산로17길 12,37.5502746,126.9223031,ws_mp_07.png,e1ded8,bcb7ab,3c2f2c,9a9181,705b4b
20,서서울,마포,커피가게동경,서울 마포구 망원로6길 21,37.5559099,126.9035384,ws_mp_08.png,877862,281f12,5a4c38,b3a696,e9e0d6
21,서서울,마포,아오이토리,서울 마포구 와우산로29길 8,37.5547393,126.92943909999998,ws_mp_09.png,32281f,6b533e,c0bcb4,e6eaeb,968572
22,서서울,마포,안티크코코,서울 마포구 독막로 64,37.5475819,126.9204814,ws_mp_10.png,ccb179,a97f3e,2b1d11,664d2e,eee5d0
23,서서울,마포,카페 레드빅,서울 마포구 잔다리로6길 5,37.5521037,126.9194429,ws_mp_11.png,1c1712,996659,574231,d2a78e,faf3e4
24,서서울,마포,카페하이웨스트,서울 마포구 성미산로 167-9,37.5645316,126.9250634,ws_mp_12.png,9e7843,735326,c39c5d,2d1907,fcf4dc
