,지역,지역구,카페명,주소,위도,경도,파일명
0,서서울,은평,스모어,서울 은평구 연서로29길 8-8,37.6189525,126.9196972,ws_ep_01.png
1,서서울,은평,필라멘트카페,서울 은평구 통일로 883,37.621753399999996,126.9194619,ws_ep_02.png
2,서서울,은평,HUGA,서울 은평구 진관2로 19,37.634753,126.9197743,ws_ep_03.png
3,서서울,은평,YM Coffee Project,서울 은평구 연서로29길 21-8,37.61909489999999,126.91754180000001,ws_ep_04.png
4,서서울,은평,카페달력,서울 은평구 연서로18길 28-2,37.6119303,126.92053390000001,ws_ep_05.png
5,서서울,은평,CAFE ASA,서울 은평구 불광천길 338,37.589068100000006,126.91409420000001,ws_ep_06.png
6,서서울,은평,1인1잔,서울 은평구 연서로 534,37.619088399999995,126.92350230000001,ws_ep_07.png
7,서서울,은평,카페뤽상부르,서울 은평구 연서로25길 6-11,37.617221799999996,126.9181467,ws_ep_08.png
8,서서울,은평,Tamnadoda cafe,서울 은평구 통일로83길 5-14,37.620598,126.91874229999999,ws_ep_09.png
9,서서울,은평,북한산제빵소,서울 은평구 진관동 126-11,37.639481200000006,126.9401428,ws_ep_10.png
10,서서울,은평,제이츠 커피 브루어스,서울 은평구 연서로25길 20-3,37.6174221,126.91689440000002,ws_ep_11.png
11,서서울,은평,슬러프커피,서울 은평구 연서로16길 15-7,37.6097942,126.91848870000001,ws_ep_12.png
12,서서울,은평,다용도실,서울 은평구 연서로20길 17,37.6140571,126.9198779,ws_ep_13.png
13,서서울,마포,프릳츠 도화점,서울 마포구 새창로2길 17,37.5409755,126.94904679999999,ws_mp_01.png
14,서서울,마포,피오니,서울 마포구 어울마당로 56,37.5499118,126.92124340000001,ws_mp_02.png
15,서서울,마포,앤트러사이트 합정점,서울 마포구 토정로5길 10,37.5458006,126.91832079999999,ws_mp_03.png
16,서서울,마포,카페부라노,서울 마포구 동교로23길 14,37.5568708,126.9208862,ws_mp_04.png
17,서서울,마포,소복 홍대 본점,서울 마포구 어울마당로 58,37.5500661,126.92126950000001,ws_mp_05.png
18,서서울,마포,허밍벨라,서울 마포구 독막로7길 57,37.5503215,126.91993490000002,ws_mp_06.png
19,서서울,마포,젤라띠젤라띠,서울 마포구 와우산로17길 12,37.5502746,126.9223031,ws_mp_07.png
20,서서울,마포,커피가게동경,서울 마포구 망원로6길 21,37.555909899999996,126.9035384,ws_mp_08.png
21,서서울,마포,아오이토리,서울 마포구 와우산로29길 8,37.5547393,126.92943909999998,ws_mp_09.png
22,서서울,마포,안티크코코,서울 마포구 독막로 64,37.5475819,126.9204814,ws_mp_10.png
23,서서울,마포,카페 레드빅,서울 마포구 잔다리로6길 5,37.5521037,126.9194429,ws_mp_11.png
24,서서울,마포,카페하이웨스트,서울 마포구 성미산로 167-9,37.5645316,126.92506340000001,ws_mp_12.png
25,서서울,마포,블랑드티,서울 마포구 양화로 61,37.5507622,126.9150317,ws_mp_13.png
26,서서울,서대문,카페 카페,서울 서대문구 연세로12길 19,37.5590079,126.93816329999999,ws_sdm_01.png
27,서서울,서대문,호밀밭,서울 서대문구 신촌역로 43,37.55891210000001,126.9406332,ws_sdm_02.png
28,서서울,서대문,매뉴팩트커피,서울 서대문구 연희로11길 29,37.567758000000005,126.92959809999999,ws_sdm_03.png
29,서서울,서대문,어반앨리스,서울 서대문구 이화여대1길 10,37.5576095,126.94490159999998,ws_sdm_04.png
30,서서울,서대문,waffle it up,서울 서대문구 이화여대3길 42-19,37.5582078,126.94328940000001,ws_sdm_05.png
31,서서울,서대문,카페페라,서울 서대문구 이화여대8길 2,37.558617,126.9459253,ws_sdm_06.png
32,서서울,서대문,보일링팟,서울 서대문구 연세로 42-22,37.55920820000001,126.9382884,ws_sdm_07.png
33,서서울,서대문,마호가니,서울 서대문구 연희맛로 45,37.5688266,126.93118340000001,ws_sdm_08.png
34,서서울,서대문,독수리다방,서울 서대문구 연세로 36,37.5587229,126.9372291,ws_sdm_09.png
35,서서울,서대문,하이드미플리즈,서울 서대문구 통일로39나길 5,37.5884239,126.94308649999999,ws_sdm_10.png
36,서서울,서대문,마이디어스윗,서울 서대문구 세검정로 52-10,37.5919658,126.94650590000002,ws_sdm_11.png
37,서서울,서대문,로열티하우스,서울 서대문구 충정로 71-5,37.5651589,126.96542120000001,ws_sdm_12.png
38,서서울,서대문,팝컨테이너,서울 서대문구 명물길 70,37.5588248,126.94005159999999,ws_sdm_13.png
39,서남,강서,고양이똥,서울 강서구 공항대로59가길 13,37.552004700000005,126.86462709999999,sw_gs_01.png
40,서남,강서,고양이정원,서울 강서구 개화동로19길 18,37.5756508,126.80310320000001,sw_gs_02.png
41,서남,강서,헤븐온탑 김포공항점,서울 강서구 하늘길 38,37.566773299999994,126.8025118,sw_gs_03.png
42,서남,강서,WE Ccafe,서울 강서구 강서로47길 169,37.553410799999995,126.82670490000001,sw_gs_04.png
43,서남,강서,아임멍,서울 강서구 마곡서로 158,37.568023,126.825098,sw_gs_05.png
44,서남,강서,카페숨,서울 강서구 공항대로39길 7,37.558577899999996,126.8433001,sw_gs_06.png
45,서남,강서,하롱하롱,서울 강서구 마곡서로 152,37.5675429,126.8259872,sw_gs_07.png
46,서남,강서,뚜스뚜스,서울 강서구 화곡로 408,37.5595764,126.8547716,sw_gs_08.png
47,서남,강서,요로콘데,서울 강서구 마곡중앙로 161-1,37.5678801,126.82656670000001,sw_gs_09.png
48,서남,강서,브루드서울,서울 강서구 마곡중앙로 161-11,37.5678801,126.82656670000001,sw_gs_10.png
49,서남,강서,793 플라워팩토리,서울 강서구 마곡중앙8로 90,37.5608125,126.8376875,sw_gs_11.png
50,서남,강서,카페소금다방,서울 강서구 공항대로61길 42,37.552685499999995,126.86637320000001,sw_gs_12.png
51,서남,강서,어느예쁜날,서울 강서구 화곡로26가길 18,37.5408966,126.8395116,sw_gs_13.png
52,서남,양천,커피별녹색잔,서울 양천구 목동로21길 26,37.52523729999999,126.86083570000001,sw_yc_01.png
53,서남,양천,C27 현대백화점목동점,서울 양천구 목동동로 257,37.5268253,126.87497820000002,sw_yc_02.png
54,서남,양천,에프스토리,서울 양천구 목동동로 226-19,37.5255045,126.8730929,sw_yc_03.png
55,서남,양천,cafe qooom,서울 양천구 목동로23길 1,37.5270576,126.863289,sw_yc_04.png
56,서남,양천,카페 제하,서울 양천구 목동동로 177,37.521582200000005,126.8704402,sw_yc_05.png
57,서남,양천,이기스카페 목동점,서울 양천구 목동동로 293,37.5281527,126.8757457,sw_yc_06.png
58,서남,양천,르플로르,서울 양천구 목동동로 222-13,37.525279,126.8727908,sw_yc_07.png
59,서남,양천,엘가커피 목동점,서울 양천구 신정중앙로 107,37.526399100000006,126.86367690000002,sw_yc_08.png
60,서남,양천,알리커피,서울 양천구 중앙로32길 45,37.519602,126.85875729999998,sw_yc_09.png
61,서남,양천,테디랩,서울 양천구 신월로36길 11,37.520665,126.85855330000001,sw_yc_10.png
62,서남,양천,퍼블릭맨션,서울 양천구 등촌로 154,37.543499100000005,126.8625778,sw_yc_11.png
63,서남,양천,카페쿤츠,서울 양천구 오목로 170,37.524805799999996,126.85618240000001,sw_yc_12.png
64,서남,양천,커피그레이드,서울 양천구 중앙로51길 71,37.5234824,126.84261240000001,sw_yc_13.png
65,서남,영등포,세상의모든아침,서울 영등포구 여의대로 24,37.522317,126.92011529999999,sw_ydp_01.png
66,서남,영등포,오월의종 타임스퀘어점,서울 영등포구 영중로 15,37.517007,126.9041419,sw_ydp_02.png
67,서남,영등포,올드문래,서울 영등포구 도림로 433-6,37.5138911,126.8942605,sw_ydp_03.png
68,서남,영등포,선유기지,서울 영등포구 선유로51길 1,37.536435,126.89763559999999,sw_ydp_04.png
69,서남,영등포,폴앤폴리나 여의도점,서울 영등포구 의사당대로 108,37.5199076,126.92453870000001,sw_ydp_05.png
70,서남,영등포,카페 진정성,서울 영등포구 국제금융로8길 31,37.51985620000001,126.9279038,sw_ydp_06.png
71,서남,영등포,마호가니커피 타임스퀘어점,서울 영등포구 영중로 15,37.517007,126.9041419,sw_ydp_07.png
